[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Run ParseTemplate Behavior [ RunTime:0.076004s ]
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ view_parse ] --END-- [ RunTime:0.076004s ]
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ view_filter ] --START--
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ view_end ] --START--
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2015-05-29T21:56:25+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ route_check ] --START--
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ app_begin ] --START--
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | SQL: SHOW COLUMNS FROM `t_product` [ RunTime:0.003000s ]
[ 2015-05-29T21:58:01+08:00 ] /getwhere2.9/index.php/Product | SQL: INSERT INTO `t_product` (`company_id`,`generate_by`,`generate_time`) VALUES ('23','22',1432907881) [ RunTime:0.066004s ]
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ view_template ] --START--
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | INFO: Tag[ view_parse ] --START--
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-05-29T21:58:02+08:00 ] /getwhere2.9/index.php/Product | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
